Date,Primary Type,Arrest,Location Description,Latitude,Longitude,Year,Month,Hour
06/28/2025 07:00:00 PM,BATTERY,False,WAREHOUSE,41.893327862,-87.602514088,2025,6,19
05/09/2025 01:28:00 PM,OTHER OFFENSE,False,RESIDENCE,41.82194891,-87.686071629,2025,5,13
07/02/2025 11:07:00 PM,BATTERY,True,APARTMENT,41.863716999,-87.716561662,2025,7,23
01/16/2025 07:10:00 PM,ASSAULT,False,VEHICLE NON-COMMERCIAL,41.754388186,-87.566285228,2025,1,19
03/24/2025 07:30:00 AM,OTHER OFFENSE,False,RESIDENCE,41.770562954,-87.716138792,2025,3,7
11/01/2024 11:00:00 AM,BATTERY,False,APARTMENT,41.718542616,-87.559818125,2024,11,11
01/14/2025 03:30:00 PM,THEFT,False,RESTAURANT,41.938353011,-87.644341137,2025,1,15
08/31/2025 12:00:00 AM,OTHER OFFENSE,False,RESIDENCE,41.997929286,-87.678504523,2025,8,0
12/28/2025 09:00:00 PM,THEFT,False,RESIDENCE,41.7346283,-87.575661523,2025,12,21
07/20/2024 01:00:00 PM,MOTOR VEHICLE THEFT,False,RESIDENCE,41.870140733,-87.697338234,2024,7,13
09/14/2024 07:42:00 PM,MOTOR VEHICLE THEFT,False,STREET,41.997765594,-87.687879909,2024,9,19
01/03/2025 06:00:00 PM,CRIMINAL DAMAGE,False,STREET,41.692273984,-87.612146482,2025,1,18
07/13/2025 10:30:00 PM,MOTOR VEHICLE THEFT,False,STREET,41.813880105,-87.619716221,2025,7,22
09/11/2025 10:40:00 AM,NARCOTICS,True,STREET,41.871601704,-87.696038689,2025,9,10
11/17/2024 10:55:00 PM,ASSAULT,False,RESTAURANT,41.889335026,-87.636964662,2024,11,22
06/16/2024 12:41:00 AM,PUBLIC PEACE VIOLATION,False,VEHICLE NON-COMMERCIAL,41.80716827,-87.743142974,2024,6,0
01/07/2026 11:00:00 PM,THEFT,False,STREET,41.849233313,-87.716146591,2026,1,23
06/19/2025 02:30:00 AM,BATTERY,False,RESIDENCE,41.656796297,-87.602332776,2025,6,2
06/22/2025 10:30:00 AM,OTHER OFFENSE,False,STREET,41.742771149,-87.645087604,2025,6,10
10/24/2025 07:00:00 PM,ASSAULT,False,APARTMENT,41.851324312,-87.631981549,2025,10,19
11/02/2025 02:40:00 PM,BATTERY,False,RESIDENCE,41.658317997,-87.603406086,2025,11,14
01/20/2026 06:30:00 AM,ROBBERY,False,CONVENIENCE STORE,41.885871785,-87.632452147,2026,1,6
12/07/2024 09:30:00 PM,OTHER OFFENSE,False,RESIDENCE,41.753567171,-87.564572519,2024,12,21
03/12/2025 01:00:00 PM,MOTOR VEHICLE THEFT,False,STREET,41.81631968,-87.609179059,2025,3,13
05/02/2025 07:21:00 PM,CRIMINAL TRESPASS,True,STREET,41.766748442,-87.60680797,2025,5,19
07/28/2025 02:30:00 AM,CRIMINAL DAMAGE,False,STREET,41.671580428,-87.626074017,2025,7,2
12/27/2025 03:09:00 PM,NARCOTICS,True,STREET,41.885720679,-87.747000068,2025,12,15
02/28/2025 11:44:00 PM,ASSAULT,False,HOTEL / MOTEL,41.89221925,-87.604682647,2025,2,23
06/21/2024 04:00:00 PM,DECEPTIVE PRACTICE,False,OTHER (SPECIFY),41.803565905,-87.694076255,2024,6,16
06/30/2025 01:45:00 PM,THEFT,False,RESIDENCE - PORCH / HALLWAY,41.967827873,-87.657614266,2025,6,13
10/17/2024 08:34:00 AM,INTERFERENCE WITH PUBLIC OFFICER,True,STREET,41.913054602,-87.763609887,2024,10,8
07/12/2024 12:16:00 AM,BATTERY,True,SIDEWALK,41.765253769,-87.615255549,2024,7,0
11/15/2024 05:01:00 AM,DECEPTIVE PRACTICE,False,RESIDENCE,41.947902033,-87.803408418,2024,11,5
07/26/2025 02:36:00 AM,THEFT,False,RESTAURANT,41.92735143,-87.704597631,2025,7,2
04/09/2025 02:04:00 PM,THEFT,False,RESIDENCE,41.966392804,-87.657173479,2025,4,14
08/08/2024 07:00:00 AM,BATTERY,False,PARKING LOT / GARAGE (NON RESIDENTIAL),41.934617724,-87.668476056,2024,8,7
11/28/2024 04:30:00 AM,ROBBERY,False,APARTMENT,41.947311441,-87.648229406,2024,11,4
09/11/2025 07:30:00 AM,BATTERY,False,APARTMENT,41.750133945,-87.662221927,2025,9,7
09/18/2024 02:40:00 PM,THEFT,False,COMMERCIAL / BUSINESS OFFICE,41.878630716,-87.636673298,2024,9,14
03/28/2025 03:54:00 AM,BURGLARY,False,VEHICLE NON-COMMERCIAL,42.013217545,-87.819248822,2025,3,3
07/08/2025 04:00:00 AM,MOTOR VEHICLE THEFT,False,STREET,41.806761582,-87.61139208,2025,7,4
